a52dec 0.7.4-11
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alsa-card-profiles 1:0.3.50-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
amd-ucode 20220411.705f19a-1
amdvlk 2022.Q2.1-1
aom 3.3.0-1
archlinux-keyring 20220224-1
argon2 20190702-4
aria2 1.36.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.0-2
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.7-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bind 9.18.1-1
binutils 2.38-4
bison 3.8.2-3
blackarch-keyring 20180925-5
blas 3.10.1-1
bluez-libs 5.64-2
boost-libs 1.78.0-2
brotli 1.0.9-7
btrfs-progs 5.16.2-1
bubblewrap 0.6.1-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.77-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
caribou 0.4.21+75+g8ad9883-3
celluloid 0.23-1
ceph-libs 15.2.14-5
checkbashisms 2.21.4-1
chromaprint 1.5.1-3
cifs-utils 6.14-1
cinnamon 5.2.7-2
cinnamon-control-center 5.2.1-5
cinnamon-desktop 5.2.1-1
cinnamon-menus 5.2.0-1
cinnamon-screensaver 5.2.1-1
cinnamon-session 5.2.0-1
cinnamon-settings-daemon 5.2.0-2
cinnamon-translations 5.2.2-1
cjs 5.2.0-1
clutter 1.26.4-2
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-3
cogl 1.22.8-2
colord 1.4.6-1
coreutils 9.1-1
cryptsetup 2.4.3-2
curl 7.82.0-2
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.15-1
dhclient 4.4.3-1
dialog 1:1.3_20220414-1
diffutils 3.8-1
ding-libs 0.6.1-4
dmenu 5.1-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
dosfstools 4.2-2
double-conversion 3.2.0-1
downgrade 11.1.0-1
e2fsprogs 1.46.5-3
efibootmgr 17-2
efitools 1.9.2-4
efivar 38-2
ell 0.49-1
enchant 2.3.2-2
endeavouros-keyring 1-5
endeavouros-mirrorlist 4.4.3-1
endeavouros-theming 8.0-1
eos-apps-info 1.2.5-1
eos-bash-shared 1.10.42-1
eos-hooks 1.4.20-1
eos-log-tool 1.4.15-1
eos-quickstart 1.3-1
eos-rankmirrors 2.2.7-1
eos-translations 1.1.81-1
eos-update-notifier 1.15.3-1
ethtool 1:5.17-1
exempi 2.6.1-1
exfatprogs 1.1.3-1
expat 2.4.8-1
f2fs-tools 1.14.0-3
faac 1.30-3
faad2 2.10.0-1
fakeroot 1.28-1
feh 3.8-2
ffmpeg 2:5.0-6
ffmpeg4.4 4.4.1-4
ffmpegthumbnailer 2.2.2-4
fftw 3.3.10-2
file 5.41-1
file-roller 3.42.0-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 99.0.1-1
flac 1.3.4-2
flex 2.6.4-3
fluidsynth 2.2.6-1
fmt 8.1.1-2
fontconfig 2:2.14.0-1
freetype2 2.12.0-2
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fzf 0.30.0-1
gawk 5.1.1-1
gc 8.2.0-3
gcc 11.2.0-4
gcc-libs 11.2.0-4
gcr 3.41.0-2
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
geoip 1.6.12-2
geoip-database 20220315-1
gettext 0.21-2
giflib 5.2.1-2
git 2.36.0-1
glib-networking 1:2.72.0-1
glib2 2.72.1-1
glibc 2.35-3
glibmm 2.66.2-1
glslang 11.9.0-1
gmp 6.2.1-1
gnome-backgrounds 42.0-1
gnome-icon-theme-extras 3.12.0-5
gnome-terminal 3.44.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-8
gnupg 2.2.32-2
gnutls 3.7.4-1
gobject-introspection-runtime 1.72.0-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06-5
grub-tools 1.6.9-2
grub2-theme-endeavouros 20220408-1
gsettings-desktop-schemas 42.0-1
gsm 1.0.19-1
gspell 1.10.0-1
gssdp 1.4.0.1-1
gssproxy 0.8.4-1
gst-libav 1.20.1-1
gst-plugin-pipewire 1:0.3.50-1
gst-plugins-bad 1.20.1-1
gst-plugins-bad-libs 1.20.1-1
gst-plugins-base-libs 1.20.1-1
gst-plugins-ugly 1.20.1-1
gstreamer 1.20.1-1
gtk-update-icon-cache 1:4.6.2-2
gtk3 1:3.24.33-2
gtk4 1:4.6.2-2
gtkmm3 3.24.5-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.3-1
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gvfs 1.50.0+r5+g747c7f6e-1
gvfs-mtp 1.50.0+r5+g747c7f6e-1
gvfs-nfs 1.50.0+r5+g747c7f6e-1
gzip 1.12-1
harfbuzz 4.2.0-3
